P41-PWY	PEPTIDOGLYCANSYN-PWY
COMPLETE-ARO-PWY	PWY-5941
PWY-5695	PWY0-862
CALVIN-PWY	PWY-6527
CALVIN-PWY	NONOXIPENT-PWY
CALVIN-PWY	PWY-6387
COBALSYN-PWY	PWY-5103
PWY-5121	PWY-6700
PWY-6126	PWY-6386
COA-PWY	PWY-5973
ARGSYNBSUB-PWY	PWY-7791
PWY-7791	PWY0-1297
PWY-5659	PWY-7663
COA-PWY	PWY-6731
PWY-7111	PWY-7357
GLUTORN-PWY	PWY-5659
COA-PWY	PWY-7222
PWY-7222	PWY-7790
COA-PWY-1	UDPNAGSYN-PWY
GALACTUROCAT-PWY	VALSYN-PWY
PEPTIDOGLYCANSYN-PWY	PWY-6823
ARGSYN-PWY	PWY-6608
PWY-5030	PWY-7229
PWY-5188	PWY-6823
PWY-1042	THISYNARA-PWY
PWY-8178	VALSYN-PWY
GALACTUROCAT-PWY	RIBOSYN2-PWY
1CMET2-PWY	PWY-5103
COBALSYN-PWY	PWY-5097
HISTSYN-PWY	PWY-7228
PWY-5695	PWY-7791
PWY-6897	PWY-7111
UNINTEGRATED	PWY-7790
PWY-6122	PWY-6125
PWY-8178	RIBOSYN2-PWY
FASYN-ELONG-PWY	PWY-7791
PWY-5667	PWY-5941
HISTSYN-PWY	PWY-6700
PWY-6703	PWY-724
ANAGLYCOLYSIS-PWY	PWY-7790
PWY-7197	PWY-7222
PWY-7238	PWY-I9
PWY-6122	PWY-7664
UNINTEGRATED	PWY-6519
PWY-2942	PWY-724
UNINTEGRATED	PWY-5686
PWY-6527	PWY66-429
PWY-6507	PWY-6823
COA-PWY	GLUTORN-PWY
PANTO-PWY	PWY-6123
PWY-6163	PWY0-1319
PWY-5659	PWY66-429
COMPLETE-ARO-PWY	PWY-I9
ANAGLYCOLYSIS-PWY	PWY-5686
1CMET2-PWY	PWY-5097
ARGININE-SYN4-PWY	PWY-5103
DTDPRHAMSYN-PWY	PWY-6507
HISDEG-PWY	PWY-5695
PWY-6163	PWY-6282
GLUTORN-PWY	METH-ACETATE-PWY
PWY-7221	PWY-7229
PWY-6277	PWY-7663
PWY-6282	PWY66-429
PWY-6703	RHAMCAT-PWY
PWY-2942	RHAMCAT-PWY
PWY-6124	PWY-7242
COBALSYN-PWY	PWY-6731
PWY-6151	PWY-7851
PWY0-1319	PYRIDNUCSYN-PWY
UNINTEGRATED	PWY0-1241
ARO-PWY	PWY-6519
PWY-7111	PWY-7237
TRNA-CHARGING-PWY	VALSYN-PWY
ARO-PWY	PWY-5686
PWY-1042	PWY-6609
COA-PWY	PWY-6163
GLUTORN-PWY	PWY-7953
PWY-6609	PWY-7220
ARGININE-SYN4-PWY	PWY-5097
PWY-7238	PWY-7791
PWY-6823	PWY-7953
COBALSYN-PWY	PWY-6124
METH-ACETATE-PWY	PWY0-1319
COA-PWY	PWY-6122
PWY-5384	PWY-6277
COA-PWY	PWY-7560
PEPTIDOGLYCANSYN-PWY	PWY-5100
1CMET2-PWY	PWY-5973
PWY-5695	PWY0-1586
GLUTORN-PWY	PWY-6630
NONOXIPENT-PWY	PWY-6151
PWY-1269	PWY-6123
PWY-6163	PWY0-862
BRANCHED-CHAIN-AA-SYN-PWY	SER-GLYSYN-PWY
ARGSYN-PWY	PWY-6317
ARO-PWY	PWY0-1241
UNINTEGRATED	PWY-6386
NONMEVIPP-PWY	PWY-6608
PWY-1042	PWY-5659
ARO-PWY	PWY-6700
COBALSYN-PWY	GLUTORN-PWY
PWY-7221	UDPNAGSYN-PWY
METH-ACETATE-PWY	PWY-6151
PWY-7663	PWY-7953
GALACTUROCAT-PWY	PWY-6507
ANAGLYCOLYSIS-PWY	PWY-6386
1CMET2-PWY	PWY-6124
PWY-7197	PWY-7560
PWY-6609	PWY0-1297
PWY-3841	PWY-6527
ARGININE-SYN4-PWY	PWY-5973
PWY-6147	RHAMCAT-PWY
GLUTORN-PWY	PWY-6270
COA-PWY-1	PWY-5695
PWY-7357	PWY-7851
PWY-6386	PWY-7790
PWY-6317	PWY-7111
PWY-6124	PWY-7222
ARGSYNBSUB-PWY	COA-PWY
PWY-5989	PWY-6902
DTDPRHAMSYN-PWY	PWY0-1319
PWY-6630	PWY-724
ARO-PWY	PWY-6386
NONMEVIPP-PWY	PWY0-1296
PWY-5667	PWY-7791
PWY-6386	PWY-6519
PWY-6123	PWY-6527
DTDPRHAMSYN-PWY	PWY-6282
GLYCOGENSYNTH-PWY	PWY-8178
DTDPRHAMSYN-PWY	PWY-7234
PWY-6385	PWY-6823
ARGININE-SYN4-PWY	PWY-6124
PWY-7664	RHAMCAT-PWY
PWY-5686	PWY-7851
PANTOSYN-PWY	PWY-7790
COA-PWY	HSERMETANA-PWY
DTDPRHAMSYN-PWY	PWY-6151
PWY-5695	PWY-6125
BIOTIN-BIOSYNTHESIS-PWY	PWY-5667
NONOXIPENT-PWY	PWY-7791
PWY-3841	PWY-6608
PANTOSYN-PWY	PWY-6519
PWY-7663	PYRIDNUCSYN-PWY
PANTOSYN-PWY	PWY-5686
PWY-5097	PWY-6703
COA-PWY-1	COBALSYN-PWY
HISDEG-PWY	PWY-6147
1CMET2-PWY	PWY-6163
COMPLETE-ARO-PWY	PWY-5188
PWY-6151	PWY-8178
PWY-6277	PWY-7197
PWY-5097	PYRIDOXSYN-PWY
PWY-5989	PWY-7199
PWY-7220	PWY-7238
PWY-6609	PWY-7238
PANTO-PWY	PWY-5676
PWY-1042	PWY-7953
PWY-6123	PWY-6608
COA-PWY-1	HISDEG-PWY
PWY-5941	PWY-7242
PANTO-PWY	PWY-7221
PWY-I9	PYRIDNUCSYN-PWY
PWY-5103	PWY-5686
PWY-5030	PWY-5695
PWY-2942	PWY-8178
DTDPRHAMSYN-PWY	PWY0-862
NONMEVIPP-PWY	PWY-6317
PWY-3841	PWY0-1296
PWY-1042	PWY-6630
PWY-5686	PWY-7977
HSERMETANA-PWY	SER-GLYSYN-PWY
PWY-6124	PWY-6163
PANTOSYN-PWY	PWY0-1241
GLYCOGENSYNTH-PWY	PWY-5941
PWY-8178	PWY0-1319
PWY-5941	PWY-6936
PWY-6163	PWY0-1586
PANTO-PWY	PWY-6121
ARGSYN-PWY	NONMEVIPP-PWY
PWY-7242	PWY0-1296
PWY-6121	PWY-7220
PWY-7357	TRNA-CHARGING-PWY
PWY-7234	PWY-7791
PWY-6124	PWY-7560
PWY-6126	PWY-7977
CALVIN-PWY	NONMEVIPP-PWY
PWY-5103	PWY-6700
P41-PWY	PWY-7791
PWY-1042	PWY-6270
ANAGLYCOLYSIS-PWY	PWY-3841
PWY-1042	PYRIDNUCSYN-PWY
NONOXIPENT-PWY	PWY0-1586
PANTOSYN-PWY	PWY-6386
ARGSYNBSUB-PWY	BRANCHED-CHAIN-AA-SYN-PWY
PWY-1269	PWY-7221
PWY-5686	TRNA-CHARGING-PWY
COA-PWY-1	PWY-6147
PWY-5941	PWY-6731
PWY-5097	PWY-6897
PANTO-PWY	VALSYN-PWY
PWY-2942	PWY-5941
PWY-6609	PWY-6902
PWY-3841	PWY-6317
COMPLETE-ARO-PWY	PWY-5097
PWY-5103	PWY-6386
PWY-6121	PWY0-1297
PWY-6317	PWY-6823
GLYCOGENSYNTH-PWY	PWY-I9
PWY-5941	PWY-6124
PWY-6126	TRNA-CHARGING-PWY
ASPASN-PWY	PWY-7357
PWY-6123	PWY-6317
COA-PWY-1	PYRIDOXSYN-PWY
PWY-7197	PWY-7238
PWY-7222	PWY-7851
HISTSYN-PWY	NONOXIPENT-PWY
PWY-6277	PWY-7242
PEPTIDOGLYCANSYN-PWY	PWY-6385
PWY-5973	PWY-6124
PWY-5188	PWY-6385
PWY-5659	PWY-7222
PWY-6163	PWY-7664
PWY-6609	PWY-7199
PWY-7791	PWY0-1241
GLUCUROCAT-PWY	PWY-5097
NONMEVIPP-PWY	PWY66-429
ARGSYN-PWY	THISYNARA-PWY
PWY-6151	PWY-I9
PWY-6527	PWY-7953
PWY-5989	PWY-7228
DTDPRHAMSYN-PWY	PWY0-1586
PWY-6277	PWY-6936
ANAGLYCOLYSIS-PWY	PWY-7851
COMPLETE-ARO-PWY	PWY-6731
PWY-1269	VALSYN-PWY
PWY-5030	PWY-6147
PWY-6703	PWY-I9
PWY-5989	PWY-6700
PWY-2942	PWY-I9
PWY-5676	PWY-5941
PWY-6282	PWY-7953
DTDPRHAMSYN-PWY	PWY-5121
COBALSYN-PWY	PWY-7238
PWY-5941	PWY-6163
PWY-6700	PWY-6731
COA-PWY	THRESYN-PWY
BIOTIN-BIOSYNTHESIS-PWY	COA-PWY-1
PWY-1042	PWY-5989
DTDPRHAMSYN-PWY	PWY-5384
COMPLETE-ARO-PWY	PWY-6124
P41-PWY	PWY-5384
ILEUSYN-PWY	PWY-7220
HISDEG-PWY	PWY-5667
PWY-5686	PWY-6277
GLUTORN-PWY	UDPNAGSYN-PWY
PWY-7851	PWY0-1296
PWY-5384	PWY-7242
UNINTEGRATED	PWY-7977
PWY-5941	PWY-6122
NONMEVIPP-PWY	PWY-5130
PWY-6147	PWY-7234
CALVIN-PWY	DTDPRHAMSYN-PWY
PWY-6277	PWY-7222
1CMET2-PWY	PWY-7238
COMPLETE-ARO-PWY	GLUTORN-PWY
ARGSYN-PWY	PWY-6609
HISTSYN-PWY	PWY0-1296
ANAGLYCOLYSIS-PWY	PWY-7977
PWY-3841	PWY66-429
PWY-5659	PWY-6163
PWY-7197	THRESYN-PWY
PWY-6126	PWY-6277
PWY-6147	PWY-6151
PWY-5686	PWY-7663
PWY-6703	PWY-7791
CALVIN-PWY	PWY-6609
PWY-2942	PWY-7791
GLUCUROCAT-PWY	PWY-6124
PWY-5097	PWY-6527
PWY-7222	TRNA-CHARGING-PWY
PWY-5097	PWY-6387
PWY-6527	PWY-7560
DTDPRHAMSYN-PWY	PWY-6125
PWY-5659	PWY-6122
ILEUSYN-PWY	PWY0-1297
PWY-8178	PWY0-1586
ARO-PWY	PWY-7977
UNINTEGRATED	GLYCOGENSYNTH-PWY
PWY-5695	PWY-7220
ARGININE-SYN4-PWY	PWY-7238
DTDPRHAMSYN-PWY	PWY-7664
PWY-6126	PWY-7663
UNINTEGRATED	TRNA-CHARGING-PWY
PWY-6277	PWY-6630
FASYN-ELONG-PWY	PWY-7220
ARGSYN-PWY	PWY-5659
GLUCUROCAT-PWY	GLUTORN-PWY
PWY-7111	PWY-8178
NONMEVIPP-PWY	THISYNARA-PWY
ANAGLYCOLYSIS-PWY	GLYCOGENSYNTH-PWY
PWY-6147	PWY0-862
PWY-6121	PWY-6902
PWY-6902	PWY-7221
GLYCOGENSYNTH-PWY	PWY-5188
UNINTEGRATED	PWY-1042
ARGSYNBSUB-PWY	PWY0-1297
PWY-5384	PWY-6731
CALVIN-PWY	ILEUSYN-PWY
PWY-3841	PWY-5130
COA-PWY-1	PWY-5667
PWY-6507	PWY-7357
PWY-6125	PWY-6609
ANAGLYCOLYSIS-PWY	PWY-1042
PWY-7220	PWY-7228
ARO-PWY	GLYCOGENSYNTH-PWY
PWY-8178	SER-GLYSYN-PWY
GLUCUROCAT-PWY	PWY-6163
ARO-PWY	TRNA-CHARGING-PWY
PWY-5384	PWY-6124
PWY-6731	PWY-6823
PWY-6147	PWY-7791
PWY-6609	PWY-6700
1CMET2-PWY	THRESYN-PWY
PWY-6121	PWY-7199
PWY-6126	PWY66-429
ARO-PWY	PWY-1042
PWY0-1296	PWY0-1297
PWY-6277	PWY-7560
PANTO-PWY	PWY0-1319
NONMEVIPP-PWY	PWY-6609
PEPTIDOGLYCANSYN-PWY	PWY-6123
PWY-6270	PWY-7790
PWY-3841	THISYNARA-PWY
PWY-5188	PWY-6123
PWY-6608	PWY-7221
PANTO-PWY	PWY-6282
PWY-7664	PWY-7791
ARGININE-SYN4-PWY	PWY-6902
PWY-6386	PWY-7977
PANTO-PWY	PWY-7234
GLUTORN-PWY	PWY-5695
PWY-6902	VALSYN-PWY
PWY-6124	THRESYN-PWY
1CMET2-PWY	PWY-7199
PWY-6902	RIBOSYN2-PWY
PWY-5121	PWY66-429
PWY0-1586	PWY66-429
PANTO-PWY	PWY-6151
PWY-6936	PWY-7790
PWY-6123	THISYNARA-PWY
PWY-5030	PWY-5667
PWY-6630	PWY-7791
UNINTEGRATED	PWY-6277
PANTOSYN-PWY	PWY-7977
ILEUSYN-PWY	P41-PWY
PWY-5384	PWY-6163
PWY-5686	PWY-7197
GLYCOGENSYNTH-PWY	PWY-5097
NONMEVIPP-PWY	PWY-5659
PWY-7222	PWY-7663
COA-PWY	PWY-7228
ANAGLYCOLYSIS-PWY	PWY-6277
PWY-7238	PWY0-1297
ASPASN-PWY	PWY-2942
COA-PWY-1	PANTOSYN-PWY
ARGININE-SYN4-PWY	PWY-7199
PWY-5103	PWY-7977
PWY-6270	PWY0-1241
PWY-6386	TRNA-CHARGING-PWY
PWY-5941	PWY-7238
PANTO-PWY	PWY0-862
UNINTEGRATED	PWY-7663
PWY-6147	PWY0-1586
ASPASN-PWY	PWY-724
COMPLETE-ARO-PWY	PWY0-1297
PWY-3841	PWY-6609
PWY-5667	PWY-7220
HISTSYN-PWY	PWY66-429
ARO-PWY	PWY-6277
PWY-7111	PWY-I9
ASPASN-PWY	PANTO-PWY
PWY-5973	PWY-7238
PWY-6608	VALSYN-PWY
UNINTEGRATED	ARGSYNBSUB-PWY
PWY-6125	PWY-7953
PANTOSYN-PWY	TRNA-CHARGING-PWY
PWY-6897	PWY-7357
PWY-7237	PWY-7851
PWY-6123	PWY-6609
PWY-6121	PWY-6519
ANAGLYCOLYSIS-PWY	ARGSYNBSUB-PWY
PWY-6270	PWY-6386
ASPASN-PWY	RHAMCAT-PWY
PWY-6387	PWY-724
PWY-6122	PWY-7790
PANTOSYN-PWY	PWY-1042
ARO-PWY	PWY-7663
COA-PWY	P461-PWY
PWY-5103	TRNA-CHARGING-PWY
PWY-6317	PWY-6385
PWY-3841	PWY-5659
PWY-7790	RHAMCAT-PWY
COA-PWY	PWY-6703
UNINTEGRATED	FASYN-ELONG-PWY
PWY-5667	PWY0-1297
GLYCOGENSYNTH-PWY	PWY-6124
NONMEVIPP-PWY	PWY-7953
PWY-6151	PWY-6731
FASYN-ELONG-PWY	PWY-6902
COMPLETE-ARO-PWY	PWY-7238
PWY-1042	PWY-5695
PWY-6121	PWY0-1241
PWY-6387	RHAMCAT-PWY
PWY-7199	PWY-7221
PWY-7791	PWY-7977
COBALSYN-PWY	PWY-6700
PWY-6121	PWY-6700
PWY-6125	PYRIDNUCSYN-PWY
NONMEVIPP-PWY	PWY-6630
PWY-6700	PWY-7238
PWY-5941	THRESYN-PWY
ARO-PWY	FASYN-ELONG-PWY
PWY-7851	THISYNARA-PWY
ASPASN-PWY	PEPTIDOGLYCANSYN-PWY
PWY-5973	PWY-6902
1CMET2-PWY	PWY-7228
PEPTIDOGLYCANSYN-PWY	PWY-5676
ARO-PWY	PWY66-429
PYRIDNUCSYN-PWY	RHAMCAT-PWY
PEPTIDOGLYCANSYN-PWY	PWY-7221
UDPNAGSYN-PWY	VALSYN-PWY
PWY-5188	PWY-7221
UNINTEGRATED	HISTSYN-PWY
PEPTIDOGLYCANSYN-PWY	PWY-2942
GLUCUROCAT-PWY	PWY-7238
PWY-6122	PWY-7237
PWY-6121	PWY-6386
ARGSYN-PWY	GALACTUROCAT-PWY
ARGSYN-PWY	RIBOSYN2-PWY
CALVIN-PWY	VALSYN-PWY
NONMEVIPP-PWY	PWY-6270
PWY-5686	PWY-6936
PEPTIDOGLYCANSYN-PWY	PWY-724
PANTOSYN-PWY	PWY-6277
PWY-7791	TRNA-CHARGING-PWY
PWY-5659	THRESYN-PWY
NONMEVIPP-PWY	PYRIDNUCSYN-PWY
PANTO-PWY	PWY0-1586
PWY-6386	PWY-7663
CALVIN-PWY	RIBOSYN2-PWY
PWY-3841	PWY-7953
PWY-5121	PWY-6609
ARGININE-SYN4-PWY	PWY-7228
UNINTEGRATED	PWY-7197
PEPTIDOGLYCANSYN-PWY	PWY-6121
PWY-7791	PWY0-1296
PWY-6519	PWY-6902
PWY-5188	PWY-6121
PANTO-PWY	PWY-5121
PWY-5973	PWY-7199
PWY-5103	PWY-6277
PWY-7199	VALSYN-PWY
PWY-6519	THRESYN-PWY
1CMET2-PWY	BIOTIN-BIOSYNTHESIS-PWY
ARO-PWY	HISTSYN-PWY
PWY-7237	PWY-8178
BRANCHED-CHAIN-AA-SYN-PWY	PWY-7357
PANTOSYN-PWY	PWY-7663
PWY-7199	RIBOSYN2-PWY
PWY66-429	VALSYN-PWY
GLUTORN-PWY	PWY-7111
PEPTIDOGLYCANSYN-PWY	PWY-6126
PWY66-429	RIBOSYN2-PWY
1CMET2-PWY	PWY-6703
PWY-6700	PWY-6902
PWY-6823	PWY-7111
PWY-6902	PWY0-1319
PWY-5121	PWY-5659
PWY-5686	PWY-7222
PWY-5103	PWY-7663
ARO-PWY	PWY-7197
PWY-6700	THRESYN-PWY
PWY-5384	PWY-7238
HISTSYN-PWY	PWY-6609
ASPASN-PWY	PWY-8178
ARGININE-SYN4-PWY	BIOTIN-BIOSYNTHESIS-PWY
PWY-6519	PWY-7199
PWY-3841	PYRIDNUCSYN-PWY
PWY-6277	THRESYN-PWY
NONOXIPENT-PWY	P41-PWY
GLUTORN-PWY	PWY-7208
PWY-5100	PWY-6700
