Category: UC
Networks analyzed: 149

Vertex	Absolute_Frequency	Relative_Frequency(%)
PWY-6124:_inosine-5'-phosphate_biosynthesis_II	12	8.05
COA-PWY:_coenzyme_A_biosynthesis_I_(prokaryotic)	12	8.05
PWY-5103:_L-isoleucine_biosynthesis_III	12	8.05
PWY-5659:_GDP-mannose_biosynthesis	12	8.05
PWY-4984:_urea_cycle	12	8.05
PWY-6731:_starch_degradation_III	12	8.05
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli)	12	8.05
PWY-8073:_lipid_IVA_biosynthesis_(P._putida)	12	8.05
PWY-6588:_pyruvate_fermentation_to_acetone	12	8.05
PWY-1269:_CMP-3-deoxy-D-manno-octulosonate_biosynthesis	12	8.05
PWY-6519:_8-amino-7-oxononanoate_biosynthesis_I	12	8.05
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	11	7.38
PWY-6608:_guanosine_nucleotides_degradation_III	11	7.38
PANTOSYN-PWY:_superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	11	7.38
PANTO-PWY:_phosphopantothenate_biosynthesis_I	11	7.38
PWY-7977:_L-methionine_biosynthesis_IV	11	7.38
PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	11	7.38
PWY-7851:_coenzyme_A_biosynthesis_II_(eukaryotic)	11	7.38
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	11	7.38
PWY-6902:_chitin_degradation_II_(Vibrio)	11	7.38
GALACTUROCAT-PWY:_D-galacturonate_degradation_I	11	7.38
PWY-4041:_&gamma;-glutamyl_cycle	11	7.38
GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation	11	7.38
PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II	11	7.38
HISTSYN-PWY:_L-histidine_biosynthesis	10	6.71
PWY-7953:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_III_(meso-diaminopimelate_containing)	10	6.71
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	10	6.71
PYRIDNUCSYN-PWY:_NAD_de_novo_biosynthesis_I_(from_aspartate)	10	6.71
PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	10	6.71
PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	10	6.71
PWY-I9:_L-cysteine_biosynthesis_VI_(from_L-methionine)	9	6.04
PWY-5695:_inosine_5'-phosphate_degradation	9	6.04
NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)_I	9	6.04
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	9	6.04
FERMENTATION-PWY:_mixed_acid_fermentation	9	6.04
P161-PWY:_acetylene_degradation_(anaerobic)	9	6.04
GALACTARDEG-PWY:_D-galactarate_degradation_I	9	6.04
PWY-3841:_folate_transformations_II_(plants)	9	6.04
PENTOSE-P-PWY:_pentose_phosphate_pathway	9	6.04
PWY0-862:_(5Z)-dodecenoate_biosynthesis_I	8	5.37
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	8	5.37
P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	8	5.37
PWY-8004:_Entner-Doudoroff_pathway_I	8	5.37
PWY0-1061:_superpathway_of_L-alanine_biosynthesis	8	5.37
PWY-6876:_isopropanol_biosynthesis_(engineered)	8	5.37
PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	8	5.37
PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation	8	5.37
SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis	8	5.37
PWY-7664:_oleate_biosynthesis_IV_(anaerobic)	7	4.70
PWY-5005:_biotin_biosynthesis_II	7	4.70
PWY-1042:_glycolysis_IV	7	4.70
PWY-6282:_palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	7	4.70
PWY-7316:_dTDP-N-acetylviosamine_biosynthesis	7	4.70
SO4ASSIM-PWY:_assimilatory_sulfate_reduction_I	7	4.70
PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic)	7	4.70
PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic)	7	4.70
PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	7	4.70
PWY-5136:_fatty_acid_&beta;-oxidation_II_(plant_peroxisome)	7	4.70
PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	7	4.70
GLYCOLYSIS:_glycolysis_I_(from_glucose_6-phosphate)	7	4.70
GLUCONEO-PWY:_gluconeogenesis_I	7	4.70
PWY-7234:_inosine-5'-phosphate_biosynthesis_III	6	4.03
HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent)	6	4.03
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	6	4.03
PWY-5484:_glycolysis_II_(from_fructose_6-phosphate)	6	4.03
PWY-702:_L-methionine_biosynthesis_II	5	3.36
PWY0-1297:_superpathway_of_purine_deoxyribonucleosides_degradation	5	3.36
PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	5	3.36
HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic)	5	3.36
METH-ACETATE-PWY:_methanogenesis_from_acetate	5	3.36
PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	5	3.36
PWY0-1261:_anhydromuropeptides_recycling_I	5	3.36
PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	5	3.36
PWY0-1479:_tRNA_processing	5	3.36
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV	5	3.36
PWY-5989:_stearate_biosynthesis_II_(bacteria_and_plants)	5	3.36
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV	5	3.36
PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)	5	3.36
PWY-6803:_phosphatidylcholine_acyl_editing	5	3.36
PWY-7883:_anhydromuropeptides_recycling_II	5	3.36
CITRULBIO-PWY:_L-citrulline_biosynthesis	5	3.36
PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis	4	2.68
PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)	4	2.68
DTDPRHAMSYN-PWY:_dTDP-&beta;-L-rhamnose_biosynthesis	4	2.68
FUCCAT-PWY:_fucose_degradation	4	2.68
PWY-5367:_petroselinate_biosynthesis	4	2.68
GLYOXYLATE-BYPASS:_glyoxylate_cycle	4	2.68
PWY-7858:_(5Z)-dodecenoate_biosynthesis_II	4	2.68
PWY-6901:_superpathway_of_glucose_and_xylose_degradation	4	2.68
PWY-8187:_L-arginine_degradation_XIII_(reductive_Stickland_reaction)	3	2.01
PWY-7328:_superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis	3	2.01
LACTOSECAT-PWY:_lactose_and_galactose_degradation_I	3	2.01
DAPLYSINESYN-PWY:_L-lysine_biosynthesis_I	3	2.01
PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	3	2.01
PPGPPMET-PWY:_ppGpp_metabolism	3	2.01
METSYN-PWY:_superpathway_of_L-homoserine_and_L-methionine_biosynthesis	3	2.01
MET-SAM-PWY:_superpathway_of_S-adenosyl-L-methionine_biosynthesis	3	2.01
FAO-PWY:_fatty_acid_&beta;-oxidation_I_(generic)	3	2.01
HOMOSER-METSYN-PWY:_L-methionine_biosynthesis_I	3	2.01
PWY-5723:_Rubisco_shunt	3	2.01
PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	3	2.01
PWY-7118:_chitin_deacetylation	3	2.01
BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	3	2.01
PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis	3	2.01
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	3	2.01
PWY0-1338:_polymyxin_resistance	3	2.01
PWY0-1415:_superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III	3	2.01
HEME-BIOSYNTHESIS-II-1:_heme_b_biosynthesis_V_(aerobic)	3	2.01
PWY-1861:_formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	2	1.34
P124-PWY:_Bifidobacterium_shunt	2	1.34
PWY-6630:_superpathway_of_L-tyrosine_biosynthesis	2	1.34
PWY-5837:_2-carboxy-1,4-naphthoquinol_biosynthesis	2	1.34
PWY-5130:_2-oxobutanoate_degradation_I	2	1.34
PWY-8131:_5'-deoxyadenosine_degradation_II	2	1.34
PWY-5138:_fatty_acid_&beta;-oxidation_IV_(unsaturated,_even_number)	2	1.34
KETOGLUCONMET-PWY:_ketogluconate_metabolism	2	1.34
PWY-7094:_fatty_acid_salvage	2	1.34
PWY-5675:_nitrate_reduction_V_(assimilatory)	2	1.34
TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA	2	1.34
FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation	2	1.34
GALACTITOLCAT-PWY:_galactitol_degradation	2	1.34
PWY-5981:_CDP-diacylglycerol_biosynthesis_III	2	1.34
PWY-6859:_all-trans-farnesol_biosynthesis	2	1.34
PWY0-1533:_methylphosphonate_degradation_I	2	1.34
PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine	2	1.34
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation	2	1.34
PWY-6292:_superpathway_of_L-cysteine_biosynthesis_(mammalian)	2	1.34
GLUCARDEG-PWY:_D-glucarate_degradation_I	2	1.34
PWY-6305:_superpathway_of_putrescine_biosynthesis	2	1.34
PWY-7942:_5-oxo-L-proline_metabolism	2	1.34
P185-PWY:_formaldehyde_assimilation_III_(dihydroxyacetone_cycle)	2	1.34
LIPASYN-PWY:_phospholipases	2	1.34
PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III	2	1.34
PWY-7210:_pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP	2	1.34
PWY-6607:_guanosine_nucleotides_degradation_I	1	0.67
PWY-6595:_superpathway_of_guanosine_nucleotides_degradation_(plants)	1	0.67
PWY-7456:_&beta;-(1,4)-mannan_degradation	1	0.67
P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate	1	0.67
P164-PWY:_purine_nucleobases_degradation_I_(anaerobic)	1	0.67
PWY-7269:_mitochondrial_NADPH_production_(yeast)	1	0.67
PWY-6961:_L-ascorbate_degradation_II_(bacterial,_aerobic)	1	0.67
PWY0-1337:_oleate_&beta;-oxidation	1	0.67
PWY-5855:_ubiquinol-7_biosynthesis_(early_decarboxylation)	1	0.67
PWY-6531:_mannitol_cycle	1	0.67
PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	1	0.67
GLYCOLYSIS-E-D:_superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	1	0.67
PWY-7371:_1,4-dihydroxy-6-naphthoate_biosynthesis_II	1	0.67
PWY-6478:_GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis	1	0.67
PWY-5860:_superpathway_of_demethylmenaquinol-6_biosynthesis_I	1	0.67
PWY-5705:_allantoin_degradation_to_glyoxylate_III	1	0.67
PWY-5896:_superpathway_of_menaquinol-10_biosynthesis	1	0.67
PWY-7873:_D-erythronate_degradation_II	1	0.67
PWY-5898:_superpathway_of_menaquinol-12_biosynthesis	1	0.67
ECASYN-PWY:_enterobacterial_common_antigen_biosynthesis	1	0.67
PWY-5862:_superpathway_of_demethylmenaquinol-9_biosynthesis	1	0.67
DARABCATK12-PWY:_D-arabinose_degradation_I	1	0.67
PWY-5897:_superpathway_of_menaquinol-11_biosynthesis	1	0.67
PWY-5861:_superpathway_of_demethylmenaquinol-8_biosynthesis_I	1	0.67
PWY-5850:_superpathway_of_menaquinol-6_biosynthesis	1	0.67
PWY-5840:_superpathway_of_menaquinol-7_biosynthesis	1	0.67
PWY-5845:_superpathway_of_menaquinol-9_biosynthesis	1	0.67
PWY-6168:_flavin_biosynthesis_III_(fungi)	1	0.67
POLYISOPRENSYN-PWY:_polyisoprenoid_biosynthesis_(E._coli)	1	0.67
PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	1	0.67
GLYCOL-GLYOXDEG-PWY:_superpathway_of_glycol_metabolism_and_degradation	1	0.67
PWY-7187:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II	1	0.67
PWY-5899:_superpathway_of_menaquinol-13_biosynthesis	1	0.67
PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants)	1	0.67
PWY-7409:_phospholipid_remodeling_(phosphatidylethanolamine,_yeast)	1	0.67
PWY-5656:_mannosylglycerate_biosynthesis_I	1	0.67
PWY0-461:_L-lysine_degradation_I	1	0.67
PRPP-PWY:_superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis	1	0.67
PWY-7761:_NAD_salvage_pathway_II_(PNC_IV_cycle)	1	0.67
PWY-7388:_octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)	1	0.67
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation	1	0.67
PWY0-166:_superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	1	0.67
PWY-7184:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	1	0.67
ORNDEG-PWY:_superpathway_of_ornithine_degradation	1	0.67
P122-PWY:_heterolactic_fermentation	1	0.67
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate	1	0.67
PWY66-389:_phytol_degradation	1	0.67
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY:_protocatechuate_degradation_II_(ortho-cleavage_pathway)	1	0.67
PWY0-1298:_superpathway_of_pyrimidine_deoxyribonucleosides_degradation	1	0.67
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	1	0.67
ANAEROFRUCAT-PWY:_homolactic_fermentation	1	0.67
POLYAMSYN-PWY:_superpathway_of_polyamine_biosynthesis_I	1	0.67
PWY-5913:_partial_TCA_cycle_(obligate_autotrophs)	1	0.67
PWY-6572:_chondroitin_sulfate_degradation_I_(bacterial)	1	0.67
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase)	1	0.67
PWY-5971:_palmitate_biosynthesis_(type_II_fatty_acid_synthase)	1	0.67
PWY-6763:_salicortin_biosynthesis	1	0.67
GLYCOCAT-PWY:_glycogen_degradation_I	1	0.67
PWY-7165:_L-ascorbate_biosynthesis_VIII_(engineered_pathway)	1	0.67
PWY-7356:_thiamine_diphosphate_salvage_IV_(yeast)	1	0.67
PWY-241:_C4_photosynthetic_carbon_assimilation_cycle,_NADP-ME_type	1	0.67
PWY3DJ-35471:_L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)	1	0.67
PWY-801:_homocysteine_and_cysteine_interconversion	1	0.67
PWY-4361:_S-methyl-5-thio-&alpha;-D-ribose_1-phosphate_degradation_I	1	0.67
THREOCAT-PWY:_superpathway_of_L-threonine_metabolism	1	0.67
PWY-6922:_L-N&delta;-acetylornithine_biosynthesis	1	0.67
PWY3O-4107:_NAD_salvage_pathway_V_(PNC_V_cycle)	1	0.67
PWY-7294:_D-xylose_degradation_IV	1	0.67
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	1	0.67
PWY-7807:_glyphosate_degradation_III	1	0.67
HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	1	0.67
PWY-7805:_(aminomethyl)phosphonate_degradation	1	0.67
P221-PWY:_octane_oxidation	1	0.67
PWY-6690:_cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	1	0.67
PWY-6071:_superpathway_of_phenylethylamine_degradation	1	0.67
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	1	0.67
PWY0-321:_phenylacetate_degradation_I_(aerobic)	1	0.67
PWY-6143:_CMP-pseudaminate_biosynthesis	1	0.67
PWY-6906:_chitin_derivatives_degradation	1	0.67
