original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	g__Proteobacteria_unclassified	s__Proteobacteria_unclassified Proteobacteria bacterium CAG 139		no_species_or_genus_match							
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	g__Proteobacteria_unclassified	s__Proteobacteria_unclassified Proteobacteria bacterium CAG 495		no_species_or_genus_match							
g__Proteus.s__Proteus_mirabilis	g__Proteus	s__Proteus mirabilis	RS_GCF_000160755.1	exact_species_match	s__Proteus mirabilis	g__Proteus	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis
g__Proteus.s__Proteus_penneri	g__Proteus	s__Proteus penneri	RS_GCF_003144535.1	exact_species_match	s__Proteus penneri	g__Proteus	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus penneri
g__Pseudescherichia.s__Pseudescherichia_vulneris	g__Pseudescherichia	s__Pseudescherichia vulneris	RS_GCF_000759795.1	exact_species_match	s__Pseudescherichia vulneris	g__Pseudescherichia	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia vulneris
g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	g__Pseudoflavonifractor	s__Pseudoflavonifractor capillosus	RS_GCF_000169255.2	exact_species_match	s__Pseudoflavonifractor capillosus	g__Pseudoflavonifractor	f__Oscillospiraceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus
g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp An184		genus_match_only							
g__Pseudomonas.s__Pseudomonas_aeruginosa	g__Pseudomonas	s__Pseudomonas aeruginosa	RS_GCF_001457615.1	exact_species_match	s__Pseudomonas aeruginosa	g__Pseudomonas	f__Pseudomonadaceae	o__Pseudomonadales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
g__Pseudomonas.s__Pseudomonas_aeruginosa_group	g__Pseudomonas	s__Pseudomonas aeruginosa group		genus_match_only							
g__Pseudomonas.s__Pseudomonas_endophytica	g__Pseudomonas	s__Pseudomonas endophytica	RS_GCF_001411475.1	ncbi_organism_name_match	s__Aquipseudomonas endophytica	g__Aquipseudomonas	f__Pseudomonadaceae	o__Pseudomonadales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas endophytica
g__Pseudomonas.s__Pseudomonas_fragi	g__Pseudomonas	s__Pseudomonas fragi		genus_match_only							
g__Pseudomonas.s__Pseudomonas_helleri	g__Pseudomonas	s__Pseudomonas helleri		genus_match_only							
g__Pseudomonas.s__Pseudomonas_psychrophila	g__Pseudomonas	s__Pseudomonas psychrophila	RS_GCF_001043005.1	ncbi_organism_name_match	s__Aquipseudomonas psychrophila	g__Aquipseudomonas	f__Pseudomonadaceae	o__Pseudomonadales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas psychrophila
g__Pyramidobacter.s__Pyramidobacter_piscolens	g__Pyramidobacter	s__Pyramidobacter piscolens	RS_GCF_000177335.1	exact_species_match	s__Pyramidobacter piscolens	g__Pyramidobacter	f__Dethiosulfovibrionaceae	o__Synergistales	c__Synergistia	p__Synergistota	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__Pyramidobacter piscolens
g__Raoultella.s__Raoultella_ornithinolytica	g__Raoultella	s__Raoultella ornithinolytica	RS_GCF_001598295.1	ncbi_taxonomy_species_match	s__Klebsiella ornithinolytica	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella ornithinolytica
g__Raoultella.s__Raoultella_planticola	g__Raoultella	s__Raoultella planticola	RS_GCF_000735435.1	ncbi_taxonomy_species_match	s__Klebsiella planticola	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella planticola
g__Roseburia.s__Roseburia_faecis	g__Roseburia	s__Roseburia faecis	RS_GCF_045061065.1	exact_species_match	s__Roseburia faecis	g__Roseburia	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis
g__Roseburia.s__Roseburia_hominis	g__Roseburia	s__Roseburia hominis	RS_GCF_000225345.1	exact_species_match	s__Roseburia hominis	g__Roseburia	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis
g__Roseburia.s__Roseburia_intestinalis	g__Roseburia	s__Roseburia intestinalis	RS_GCF_900537995.1	exact_species_match	s__Roseburia intestinalis	g__Roseburia	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
g__Roseburia.s__Roseburia_inulinivorans	g__Roseburia	s__Roseburia inulinivorans	RS_GCF_000174195.1	exact_species_match	s__Roseburia inulinivorans	g__Roseburia	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
g__Roseburia.s__Roseburia_sp_CAG_100	g__Roseburia	s__Roseburia sp CAG 100		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_182	g__Roseburia	s__Roseburia sp CAG 182		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_197	g__Roseburia	s__Roseburia sp CAG 197		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_303	g__Roseburia	s__Roseburia sp CAG 303		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_380	g__Roseburia	s__Roseburia sp CAG 380		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_471	g__Roseburia	s__Roseburia sp CAG 471		genus_match_only							
g__Rothia.s__Rothia_mucilaginosa	g__Rothia	s__Rothia mucilaginosa	RS_GCF_000175615.1	exact_species_match	s__Rothia mucilaginosa	g__Rothia	f__Micrococcaceae	o__Actinomycetales	c__Actinomycetes	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
g__Rubneribacter.s__Rubneribacter_badeniensis	g__Rubneribacter	s__Rubneribacter badeniensis	RS_GCF_002899695.1	exact_species_match	s__Rubneribacter badeniensis	g__Rubneribacter	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Rubneribacter;s__Rubneribacter badeniensis
g__Ruminococcaceae_unclassified.s__Clostridium_leptum	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Clostridium leptum		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Eubacterium siraeum		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Ruminococcaceae bacterium D16		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Ruminococcaceae bacterium D5		no_species_or_genus_match							
g__Ruminococcus.s__Ruminococcus_bicirculans	g__Ruminococcus	s__Ruminococcus bicirculans		genus_match_only							
g__Ruminococcus.s__Ruminococcus_bromii	g__Ruminococcus	s__Ruminococcus bromii		genus_match_only							
g__Ruminococcus.s__Ruminococcus_callidus	g__Ruminococcus	s__Ruminococcus callidus		genus_match_only							
g__Ruminococcus.s__Ruminococcus_champanellensis	g__Ruminococcus	s__Ruminococcus champanellensis	RS_GCF_000210095.1	ncbi_taxonomy_species_match	s__Ruminococcus_F champanellensis	g__Ruminococcus_F	f__Ruminococcaceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis
g__Ruminococcus.s__Ruminococcus_lactaris	g__Ruminococcus	s__Ruminococcus lactaris		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	g__Ruminococcus	s__Ruminococcus sp AF31 8BH		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_177	g__Ruminococcus	s__Ruminococcus sp CAG 177		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_330	g__Ruminococcus	s__Ruminococcus sp CAG 330		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_353	g__Ruminococcus	s__Ruminococcus sp CAG 353		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_382	g__Ruminococcus	s__Ruminococcus sp CAG 382		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_403	g__Ruminococcus	s__Ruminococcus sp CAG 403		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_488	g__Ruminococcus	s__Ruminococcus sp CAG 488		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_563	g__Ruminococcus	s__Ruminococcus sp CAG 563		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_579	g__Ruminococcus	s__Ruminococcus sp CAG 579		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_624	g__Ruminococcus	s__Ruminococcus sp CAG 624		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_CAG_724	g__Ruminococcus	s__Ruminococcus sp CAG 724		genus_match_only							
g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans	RS_GCF_000949455.1	exact_species_match	s__Ruthenibacterium lactatiformans	g__Ruthenibacterium	f__Ruminococcaceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
g__Sanguibacteroides.s__Sanguibacteroides_justesenii	g__Sanguibacteroides	s__Sanguibacteroides justesenii		no_species_or_genus_match							
g__Sellimonas.s__Sellimonas_intestinalis	g__Sellimonas	s__Sellimonas intestinalis	RS_GCF_001280875.1	exact_species_match	s__Sellimonas intestinalis	g__Sellimonas	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas;s__Sellimonas intestinalis
g__Senegalimassilia.s__Senegalimassilia_anaerobia	g__Senegalimassilia	s__Senegalimassilia anaerobia	RS_GCF_000236865.1	exact_species_match	s__Senegalimassilia anaerobia	g__Senegalimassilia	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia anaerobia
g__Slackia.s__Slackia_isoflavoniconvertens	g__Slackia	s__Slackia isoflavoniconvertens	RS_GCF_003725955.1	exact_species_match	s__Slackia isoflavoniconvertens	g__Slackia	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens
g__Slackia.s__Slackia_piriformis	g__Slackia	s__Slackia piriformis	RS_GCF_000296445.1	exact_species_match	s__Slackia piriformis	g__Slackia	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia piriformis
g__Solobacterium.s__Solobacterium_moorei	g__Solobacterium	s__Solobacterium moorei	RS_GCF_036323475.1	ncbi_organism_name_match	s__Bulleidia moorei	g__Bulleidia	f__Erysipelotrichaceae	o__Erysipelotrichales	c__Bacilli_A	p__Bacillota_I	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei
g__Staphylococcus.s__Staphylococcus_aureus	g__Staphylococcus	s__Staphylococcus aureus	RS_GCF_001027105.1	exact_species_match	s__Staphylococcus aureus	g__Staphylococcus	f__Staphylococcaceae	o__Staphylococcales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
g__Staphylococcus.s__Staphylococcus_epidermidis	g__Staphylococcus	s__Staphylococcus epidermidis	RS_GCF_006742205.1	exact_species_match	s__Staphylococcus epidermidis	g__Staphylococcus	f__Staphylococcaceae	o__Staphylococcales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis
g__Streptococcus.s__Streptococcus_anginosus_group	g__Streptococcus	s__Streptococcus anginosus group		genus_match_only							
g__Streptococcus.s__Streptococcus_australis	g__Streptococcus	s__Streptococcus australis	RS_GCF_000186465.1	exact_species_match	s__Streptococcus australis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus australis
g__Streptococcus.s__Streptococcus_cristatus	g__Streptococcus	s__Streptococcus cristatus	RS_GCF_000222765.1	exact_species_match	s__Streptococcus cristatus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus
g__Streptococcus.s__Streptococcus_equinus	g__Streptococcus	s__Streptococcus equinus	RS_GCF_000187265.1	exact_species_match	s__Streptococcus equinus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus
g__Streptococcus.s__Streptococcus_gallolyticus	g__Streptococcus	s__Streptococcus gallolyticus	RS_GCF_002000985.1	exact_species_match	s__Streptococcus gallolyticus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus
g__Streptococcus.s__Streptococcus_gordonii	g__Streptococcus	s__Streptococcus gordonii	RS_GCF_001553855.1	exact_species_match	s__Streptococcus gordonii	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii
g__Streptococcus.s__Streptococcus_infantarius	g__Streptococcus	s__Streptococcus infantarius	RS_GCF_000154985.1	exact_species_match	s__Streptococcus infantarius	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantarius
g__Streptococcus.s__Streptococcus_infantis	g__Streptococcus	s__Streptococcus infantis	RS_GCF_000187465.1	exact_species_match	s__Streptococcus infantis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis
g__Streptococcus.s__Streptococcus_lutetiensis	g__Streptococcus	s__Streptococcus lutetiensis	RS_GCF_900475675.1	exact_species_match	s__Streptococcus lutetiensis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis
g__Streptococcus.s__Streptococcus_macedonicus	g__Streptococcus	s__Streptococcus macedonicus	GB_GCA_000283635.1	exact_species_match	s__Streptococcus macedonicus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus macedonicus
g__Streptococcus.s__Streptococcus_mitis	g__Streptococcus	s__Streptococcus mitis	RS_GCF_000148585.2	exact_species_match	s__Streptococcus mitis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis
g__Streptococcus.s__Streptococcus_oralis	g__Streptococcus	s__Streptococcus oralis	RS_GCF_900637025.1	exact_species_match	s__Streptococcus oralis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis
g__Streptococcus.s__Streptococcus_parasanguinis	g__Streptococcus	s__Streptococcus parasanguinis	RS_GCF_000164675.2	exact_species_match	s__Streptococcus parasanguinis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
g__Streptococcus.s__Streptococcus_pasteurianus	g__Streptococcus	s__Streptococcus pasteurianus	RS_GCF_004843545.1	exact_species_match	s__Streptococcus pasteurianus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus
g__Streptococcus.s__Streptococcus_pneumoniae	g__Streptococcus	s__Streptococcus pneumoniae	RS_GCF_001457635.1	exact_species_match	s__Streptococcus pneumoniae	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
g__Streptococcus.s__Streptococcus_pseudopneumoniae	g__Streptococcus	s__Streptococcus pseudopneumoniae	RS_GCF_002087075.1	exact_species_match	s__Streptococcus pseudopneumoniae	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae
g__Streptococcus.s__Streptococcus_salivarius	g__Streptococcus	s__Streptococcus salivarius	RS_GCF_000785515.1	exact_species_match	s__Streptococcus salivarius	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius
g__Streptococcus.s__Streptococcus_sanguinis	g__Streptococcus	s__Streptococcus sanguinis	RS_GCF_000194945.1	exact_species_match	s__Streptococcus sanguinis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis
g__Streptococcus.s__Streptococcus_sp_A12	g__Streptococcus	s__Streptococcus sp A12		genus_match_only							
g__Streptococcus.s__Streptococcus_sp_F0442	g__Streptococcus	s__Streptococcus sp F0442		genus_match_only							
g__Streptococcus.s__Streptococcus_thermophilus	g__Streptococcus	s__Streptococcus thermophilus	RS_GCF_010120595.1	exact_species_match	s__Streptococcus thermophilus	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
g__Streptococcus.s__Streptococcus_vestibularis	g__Streptococcus	s__Streptococcus vestibularis	RS_GCF_000188295.1	exact_species_match	s__Streptococcus vestibularis	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis
g__Streptococcus.s__Streptococcus_viridans	g__Streptococcus	s__Streptococcus viridans	RS_GCF_900636365.1	unique_species_prefix	s__Streptococcus viridans_A	g__Streptococcus	f__Streptococcaceae	o__Lactobacillales	c__Bacilli	p__Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus viridans_A
g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	g__Subdoligranulum	s__Subdoligranulum sp APC924 74		no_species_or_genus_match							
g__Succinatimonas.s__Succinatimonas_hippei	g__Succinatimonas	s__Succinatimonas hippei	RS_GCF_000188195.1	exact_species_match	s__Succinatimonas hippei	g__Succinatimonas	f__Succinivibrionaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinatimonas;s__Succinatimonas hippei
g__Succinatimonas.s__Succinatimonas_sp_CAG_777	g__Succinatimonas	s__Succinatimonas sp CAG 777		genus_match_only							
g__Sutterella.s__Sutterella_parvirubra	g__Sutterella	s__Sutterella parvirubra	RS_GCF_000250875.1	exact_species_match	s__Sutterella parvirubra	g__Sutterella	f__Burkholderiaceae_F	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Sutterella;s__Sutterella parvirubra
g__Sutterella.s__Sutterella_sp_CAG_351	g__Sutterella	s__Sutterella sp CAG 351		genus_match_only							
g__Sutterella.s__Sutterella_sp_CAG_397	g__Sutterella	s__Sutterella sp CAG 397		genus_match_only							
g__Sutterella.s__Sutterella_sp_CAG_521	g__Sutterella	s__Sutterella sp CAG 521		genus_match_only							
g__Sutterella.s__Sutterella_wadsworthensis	g__Sutterella	s__Sutterella wadsworthensis	RS_GCF_003315195.1	exact_species_match	s__Sutterella wadsworthensis	g__Sutterella	f__Burkholderiaceae_F	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Sutterella;s__Sutterella wadsworthensis
g__Turicibacter.s__Turicibacter_sanguinis	g__Turicibacter	s__Turicibacter sanguinis	RS_GCF_013046825.1	exact_species_match	s__Turicibacter sanguinis	g__Turicibacter	f__Turicibacteraceae	o__MOL361	c__Bacilli_A	p__Bacillota_I	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sanguinis
g__Turicimonas.s__Turicimonas_muris	g__Turicimonas	s__Turicimonas muris	RS_GCF_002221595.1	exact_species_match	s__Turicimonas muris	g__Turicimonas	f__Burkholderiaceae_F	o__Burkholderiales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Turicimonas;s__Turicimonas muris
g__Tyzzerella.s__Tyzzerella_nexilis	g__Tyzzerella	s__Tyzzerella nexilis		genus_match_only							
g__Varibaculum.s__Varibaculum_cambriense	g__Varibaculum	s__Varibaculum cambriense	RS_GCF_000420065.1	exact_species_match	s__Varibaculum cambriense	g__Varibaculum	f__Actinomycetaceae	o__Actinomycetales	c__Actinomycetes	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense
g__Veillonella.s__Veillonella_atypica	g__Veillonella	s__Veillonella atypica	RS_GCF_002959915.1	exact_species_match	s__Veillonella atypica	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica
g__Veillonella.s__Veillonella_denticariosi	g__Veillonella	s__Veillonella denticariosi	RS_GCF_002959855.1	exact_species_match	s__Veillonella denticariosi	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella denticariosi
g__Veillonella.s__Veillonella_dispar	g__Veillonella	s__Veillonella dispar	RS_GCF_900637515.1	exact_species_match	s__Veillonella dispar	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
g__Veillonella.s__Veillonella_infantium	g__Veillonella	s__Veillonella infantium	RS_GCF_002959895.1	exact_species_match	s__Veillonella infantium	g__Veillonella	f__Veillonellaceae	o__Veillonellales	c__Negativicutes	p__Bacillota	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella infantium
