original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Fusobacterium.s__Fusobacterium_ulcerans	g__Fusobacterium	s__Fusobacterium ulcerans		genus_match_only							
g__Fusobacterium.s__Fusobacterium_varium	g__Fusobacterium	s__Fusobacterium varium		genus_match_only							
g__Gardnerella.s__Gardnerella_vaginalis	g__Gardnerella	s__Gardnerella vaginalis		no_species_or_genus_match							
g__Gemmiger.s__Gemmiger_formicilis	g__Gemmiger	s__Gemmiger formicilis	RS_GCF_900167555.1	exact_species_match	s__Gemmiger formicilis	g__Gemmiger	f__Ruminococcaceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
g__Gemmiger.s__Gemmiger_sp_An50	g__Gemmiger	s__Gemmiger sp An50		genus_match_only							
g__Gemmiger.s__Gemmiger_sp_An87	g__Gemmiger	s__Gemmiger sp An87		genus_match_only							
g__Gordonibacter.s__Gordonibacter_pamelaeae	g__Gordonibacter	s__Gordonibacter pamelaeae	RS_GCF_042665095.1	exact_species_match	s__Gordonibacter pamelaeae	g__Gordonibacter	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae
g__Gordonibacter.s__Gordonibacter_sp_An232A	g__Gordonibacter	s__Gordonibacter sp An232A		genus_match_only							
g__Gordonibacter.s__Gordonibacter_urolithinfaciens	g__Gordonibacter	s__Gordonibacter urolithinfaciens	RS_GCF_900199375.1	exact_species_match	s__Gordonibacter urolithinfaciens	g__Gordonibacter	f__Eggerthellaceae	o__Coriobacteriales	c__Coriobacteriia	p__Actinomycetota	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens
g__Haemophilus.s__Haemophilus_haemolyticus	g__Haemophilus	s__Haemophilus haemolyticus	RS_GCF_001679045.1	exact_species_match	s__Haemophilus haemolyticus	g__Haemophilus	f__Pasteurellaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus haemolyticus
g__Haemophilus.s__Haemophilus_influenzae	g__Haemophilus	s__Haemophilus influenzae	RS_GCF_001457655.1	exact_species_match	s__Haemophilus influenzae	g__Haemophilus	f__Pasteurellaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
g__Haemophilus.s__Haemophilus_parainfluenzae	g__Haemophilus	s__Haemophilus parainfluenzae		genus_match_only							
g__Haemophilus.s__Haemophilus_pittmaniae	g__Haemophilus	s__Haemophilus pittmaniae	RS_GCF_900186995.1	ncbi_organism_name_match	s__Haemophilus_D pittmaniae	g__Haemophilus_D	f__Pasteurellaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D pittmaniae
g__Haemophilus.s__Haemophilus_sputorum	g__Haemophilus	s__Haemophilus sputorum	RS_GCF_000238795.1	ncbi_taxonomy_species_match	s__Haemophilus_A sputorum	g__Haemophilus_A	f__Pasteurellaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A sputorum
g__Hafnia.s__Hafnia_alvei	g__Hafnia	s__Hafnia alvei	RS_GCF_034424155.1	exact_species_match	s__Hafnia alvei	g__Hafnia	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei
g__Hafnia.s__Hafnia_paralvei	g__Hafnia	s__Hafnia paralvei	RS_GCF_001655005.1	exact_species_match	s__Hafnia paralvei	g__Hafnia	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia paralvei
g__Holdemanella.s__Holdemanella_biformis	g__Holdemanella	s__Holdemanella biformis	RS_GCF_000156655.1	exact_species_match	s__Holdemanella biformis	g__Holdemanella	f__Erysipelotrichaceae	o__Erysipelotrichales	c__Bacilli_A	p__Bacillota_I	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis
g__Holdemania.s__Holdemania_filiformis	g__Holdemania	s__Holdemania filiformis	RS_GCF_000157995.1	exact_species_match	s__Holdemania filiformis	g__Holdemania	f__Erysipelotrichaceae	o__Erysipelotrichales	c__Bacilli_A	p__Bacillota_I	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__Holdemania filiformis
g__Hungatella.s__Hungatella_hathewayi	g__Hungatella	s__Hungatella hathewayi	RS_GCF_025149285.1	exact_species_match	s__Hungatella hathewayi	g__Hungatella	f__Lachnospiraceae	o__Lachnospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi
g__Intestinibacter.s__Intestinibacter_bartlettii	g__Intestinibacter	s__Intestinibacter bartlettii	RS_GCF_000154445.1	exact_species_match	s__Intestinibacter bartlettii	g__Intestinibacter	f__Peptostreptococcaceae	o__Peptostreptococcales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii
g__Intestinimonas.s__Intestinimonas_butyriciproducens	g__Intestinimonas	s__Intestinimonas butyriciproducens	RS_GCF_004154955.1	exact_species_match	s__Intestinimonas butyriciproducens	g__Intestinimonas	f__Oscillospiraceae	o__Oscillospirales	c__Clostridia	p__Bacillota	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens
g__Klebsiella.s__Klebsiella_aerogenes	g__Klebsiella	s__Klebsiella aerogenes	RS_GCF_000215745.1	exact_species_match	s__Klebsiella aerogenes	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes
g__Klebsiella.s__Klebsiella_grimontii	g__Klebsiella	s__Klebsiella grimontii	RS_GCF_900200035.1	exact_species_match	s__Klebsiella grimontii	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella grimontii
g__Klebsiella.s__Klebsiella_michiganensis	g__Klebsiella	s__Klebsiella michiganensis	RS_GCF_002925905.1	exact_species_match	s__Klebsiella michiganensis	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis
g__Klebsiella.s__Klebsiella_oxytoca	g__Klebsiella	s__Klebsiella oxytoca	RS_GCF_001598695.1	exact_species_match	s__Klebsiella oxytoca	g__Klebsiella	f__Enterobacteriaceae	o__Enterobacterales	c__Gammaproteobacteria	p__Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca
